Code,NarrowSynonym,Cod
http://purl.obolibrary.org/obo/FOODON_03411171,Brassica rapa var. perviridis L. H. Bailey,03411171
http://purl.obolibrary.org/obo/FOODON_03413373,Brassica rapa var. perviridis L. H. Bailey,03413373
http://purl.obolibrary.org/obo/FOODON_03411173,Thymus serpyllum L.,03411173
http://purl.obolibrary.org/obo/FOODON_03411175,Beta vulgaris L. ssp. cicla (L.) W.D.J. Koch,03411175
http://purl.obolibrary.org/obo/FOODON_03411175,Beta vulgaris L. subsp. vulgaris,03411175
http://purl.obolibrary.org/obo/FOODON_03411175,Beta vulgaris L. var. cicla L.,03411175
http://purl.obolibrary.org/obo/FOODON_03411175,Beta vulgaris ssp. cicla (L.) Koch,03411175
http://purl.obolibrary.org/obo/FOODON_03411175,Beta vulgaris subsp. vulgaris,03411175
http://purl.obolibrary.org/obo/FOODON_03412940,Beta vulgaris subsp. vulgaris,03412940
http://purl.obolibrary.org/obo/FOODON_03411185,Phaseolus lunatus L.,03411185
http://purl.obolibrary.org/obo/FOODON_03411397,Phaseolus lunatus L.,03411397
http://purl.obolibrary.org/obo/FOODON_03411562,Phaseolus lunatus L.,03411562
http://purl.obolibrary.org/obo/FOODON_03411189,Cucurbita moschata,03411189
http://purl.obolibrary.org/obo/FOODON_03411189,Cucurbita pepo,03411189
http://purl.obolibrary.org/obo/FOODON_03411189,cucurbita maxima,03411189
http://purl.obolibrary.org/obo/FOODON_03411190,Cucurbita pepo L.,03411190
http://purl.obolibrary.org/obo/FOODON_03411191,Piper nigrum L.,03411191
http://purl.obolibrary.org/obo/FOODON_03411193,Citrus aurantium L.,03411193
http://purl.obolibrary.org/obo/FOODON_03411193,Citrus aurantium L. subsp. aurantium,03411193
http://purl.obolibrary.org/obo/FOODON_03411193,Citrus ×aurantium L. (pro sp.),03411193
http://purl.obolibrary.org/obo/FOODON_03411193,Citrus ×aurantium L. ssp. aurantium,03411193
http://purl.obolibrary.org/obo/FOODON_03411196,Vigna unguiculata subsp. unguiculata,03411196
http://purl.obolibrary.org/obo/FOODON_03411197,Laurus nobilis L.,03411197
http://purl.obolibrary.org/obo/FOODON_03411199,Thymus,03411199
http://purl.obolibrary.org/obo/FOODON_03411199,Thymus L.,03411199
http://purl.obolibrary.org/obo/FOODON_03411199,Thymus spp.,03411199
http://purl.obolibrary.org/obo/FOODON_03411199,Thymus vulgaris L.,03411199
http://purl.obolibrary.org/obo/FOODON_03411200,Vigna unguiculata (L.) Walp. ssp. unguiculata,03411200
http://purl.obolibrary.org/obo/FOODON_03411210,Gossypium L.,03411210
http://purl.obolibrary.org/obo/FOODON_03411218,Solanum tuberosum L.,03411218
http://purl.obolibrary.org/obo/FOODON_03411220,Insecta,03411220
http://purl.obolibrary.org/obo/FOODON_03411224,crassostrea spp.,03411224
http://purl.obolibrary.org/obo/FOODON_03411224,ostrea spp.,03411224
http://purl.obolibrary.org/obo/FOODON_03411224,pteriidae,03411224
http://purl.obolibrary.org/obo/FOODON_03411225,Rosa,03411225
http://purl.obolibrary.org/obo/FOODON_03411225,Rosa L.,03411225
http://purl.obolibrary.org/obo/FOODON_03411225,Rosa spp.,03411225
http://purl.obolibrary.org/obo/FOODON_03411226,Sesamum indicum L.,03411226
http://purl.obolibrary.org/obo/FOODON_03411226,Sesamum orientale L.,03411226
http://purl.obolibrary.org/obo/FOODON_03411227,Daucus L.,03411227
http://purl.obolibrary.org/obo/FOODON_03411227,Daucus carota L.,03411227
http://purl.obolibrary.org/obo/FOODON_03411227,Daucus carota L. subsp. carota,03411227
http://purl.obolibrary.org/obo/FOODON_03411227,Daucus carota L. subsp. sativus (Hoffm.) Arcang.,03411227
http://purl.obolibrary.org/obo/FOODON_03411227,Daucus carota ssp. carota L.,03411227
http://purl.obolibrary.org/obo/FOODON_03411227,Daucus carota ssp. sativus  (Hoffm.) Arcang.,03411227
http://purl.obolibrary.org/obo/FOODON_03411229,"Equus caballus Linnaeus, 1758",03411229
http://purl.obolibrary.org/obo/FOODON_03411230,Hordeum vulgare L.,03411230
http://purl.obolibrary.org/obo/FOODON_03411232,Zea mays L.,03411232
http://purl.obolibrary.org/obo/FOODON_03411380,Zea mays L.,03411380
http://purl.obolibrary.org/obo/FOODON_03411454,Zea mays L.,03411454
http://purl.obolibrary.org/obo/FOODON_03411235,Sprattus sprattus,03411235
http://purl.obolibrary.org/obo/FOODON_03411235,"Sprattus sprattus (Linnaeus, 1758)",03411235
http://purl.obolibrary.org/obo/FOODON_03411235,"Sprattus sprattus sprattus (Linnaeus, 1758)",03411235
http://purl.obolibrary.org/obo/FOODON_03411238,Brassica rapa L. ssp. rapa,03411238
http://purl.obolibrary.org/obo/FOODON_03411245,Malus domestica Borkh.,03411245
http://purl.obolibrary.org/obo/FOODON_03411247,Capparis spinosa L.,03411247
http://purl.obolibrary.org/obo/FOODON_03411248,Brassica napus L. emend. Metzg. var. napus,03411248
http://purl.obolibrary.org/obo/FOODON_03411248,canola,03411248
http://purl.obolibrary.org/obo/FOODON_03411248,canola plant,03411248
http://purl.obolibrary.org/obo/FOODON_03411252,anura,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,rana catesbiana,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,rana esculenta,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,rana japonica,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,rana nigromaculata,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,rana pipiens,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,rana sylvatica,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,ranidae,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,salientia,03411252
http://purl.obolibrary.org/obo/FOODON_03411252,toad,03411252
http://purl.obolibrary.org/obo/FOODON_03411255,Syzygium aromaticum (L.) Merr. & L.M. Perry,03411255
http://purl.obolibrary.org/obo/FOODON_03411262,Foeniculum vulgare Mill.,03411262
http://purl.obolibrary.org/obo/FOODON_03411262,Foeniculum vulgare P. Mill.,03411262
http://purl.obolibrary.org/obo/FOODON_03411265,Zingiber officinale Roscoe,03411265
http://purl.obolibrary.org/obo/FOODON_03411265,Zingiberaceae,03411265
http://purl.obolibrary.org/obo/FOODON_03412971,Zingiberaceae,03412971
http://purl.obolibrary.org/obo/FOODON_03411267,Mentha,03411267
http://purl.obolibrary.org/obo/FOODON_03411267,Mentha L.,03411267
http://purl.obolibrary.org/obo/FOODON_03411267,Mentha spp.,03411267
http://purl.obolibrary.org/obo/FOODON_03411268,Lens culinaris Medik.,03411268
http://purl.obolibrary.org/obo/FOODON_03411271,Bambusa  Schreb.,03411271
http://purl.obolibrary.org/obo/FOODON_03411271,Bambusa spp.,03411271
http://purl.obolibrary.org/obo/FOODON_03411272,Prunus dulcis (Mill.) D. A. Webb,03411272
http://purl.obolibrary.org/obo/FOODON_03411272,Prunus dulcis (Mill.) D.A.Webb,03411272
http://purl.obolibrary.org/obo/FOODON_03411272,Prunus dulcis (P. Mill.) D.A. Webber,03411272
http://purl.obolibrary.org/obo/FOODON_03411274,Cuminum cyminum L.,03411274
http://purl.obolibrary.org/obo/FOODON_03411275,Citrus limon (L.) Burm. f.,03411275
http://purl.obolibrary.org/obo/FOODON_03411275,Citrus limon (L.) Burm. fil.,03411275
http://purl.obolibrary.org/obo/FOODON_03411275,Citrus ×limon (L.) Burm. f. (pro sp.),03411275
http://purl.obolibrary.org/obo/FOODON_03411276,Lycopersicon esculentum Mill.,03411276
http://purl.obolibrary.org/obo/FOODON_03411608,Lycopersicon esculentum Mill.,03411608
http://purl.obolibrary.org/obo/FOODON_03411276,Lycopersicon esculentum var. esculentum P. Mill.,03411276
http://purl.obolibrary.org/obo/FOODON_03411276,Solanum lycopersicum L.,03411276
http://purl.obolibrary.org/obo/FOODON_03411281,Brassica oleracea L.,03411281
http://purl.obolibrary.org/obo/FOODON_03411406,Brassica oleracea L.,03411406
http://purl.obolibrary.org/obo/FOODON_03411281,Brassica oleracea L. var. sabellica L.,03411281
http://purl.obolibrary.org/obo/FOODON_03411281,Brassica oleracea var. sabellica L.,03411281
http://purl.obolibrary.org/obo/FOODON_03411284,Spondias dulcis Parkinson,03411284
http://purl.obolibrary.org/obo/FOODON_03411284,Spondias dulcis Sol. ex Parkinson,03411284
http://purl.obolibrary.org/obo/FOODON_03411294,Allium schoenoprasum L.,03411294
http://purl.obolibrary.org/obo/FOODON_03411295,"Serpentes Linnaeus, 1758",03411295
http://purl.obolibrary.org/obo/FOODON_03411296,Pimpinella anisum L.,03411296
http://purl.obolibrary.org/obo/FOODON_03411300,Allium,03411300
http://purl.obolibrary.org/obo/FOODON_03411300,Allium L.,03411300
http://purl.obolibrary.org/obo/FOODON_03411300,Allium sp.,03411300
http://purl.obolibrary.org/obo/FOODON_03411303,Salvia,03411303
http://purl.obolibrary.org/obo/FOODON_03411303,Salvia L.,03411303
http://purl.obolibrary.org/obo/FOODON_03411303,Salvia officinalis L.,03411303
http://purl.obolibrary.org/obo/FOODON_03411303,Salvia spp.,03411303
http://purl.obolibrary.org/obo/FOODON_03411305,Coffea arabica L.,03411305
http://purl.obolibrary.org/obo/FOODON_03411308,Allium ampeloprasum var. porrum,03411308
http://purl.obolibrary.org/obo/FOODON_03411308,Allium porrum L.,03411308
http://purl.obolibrary.org/obo/FOODON_03411309,Beta vulgaris L.,03411309
http://purl.obolibrary.org/obo/FOODON_03411313,Secale cereale L.,03411313
http://purl.obolibrary.org/obo/FOODON_03411314,Cichorium endivia L.,03411314
http://purl.obolibrary.org/obo/FOODON_03411315,Raphanus sativus L. var. acanthiformis Makino,03411315
http://purl.obolibrary.org/obo/FOODON_03411318,Theobroma cacao L.,03411318
http://purl.obolibrary.org/obo/FOODON_03411319,"Catostomus Lesueur, 1817",03411319
